go_id	go	gene_id
GB41068	GO:0005840	LOC409926
GB41068	GO:0006412	LOC409926
GB41069	GO:0016831	LOC409927
GB41069	GO:0019752	LOC409927
GB41069	GO:0030170	LOC409927
GB41073	GO:0004335	LOC551581
GB41073	GO:0005524	LOC551581
GB41073	GO:0005737	LOC551581
GB41073	GO:0006012	LOC551581
GB41074	GO:0016021	LOC409078
GB41079	GO:0007165	LOC409113
GB41080	GO:0006511	LOC411572
GB41080	GO:0016579	LOC411572
GB41080	GO:0036459	LOC411572
GB41082	GO:0004715	LOC412588
GB41082	GO:0005524	LOC412588
GB41083	GO:0005525	LOC410157
GB41083	GO:0005622	LOC410157
GB41083	GO:0007264	LOC410157
GB41083	GO:0015031	LOC410157
GB41083	GO:0016020	LOC410157
GB41084	GO:0003735	LOC725383
GB41084	GO:0005840	LOC725383
GB41084	GO:0006412	LOC725383
GB41090	GO:0004575	LOC551141
GB41090	GO:0005737	LOC551141
GB41090	GO:0005975	LOC551141
GB41094	GO:0016021	LOC724655
GB41097	GO:0004252	LOC724565
GB41103	GO:0005623	LOC100576721
GB41103	GO:0006904	LOC100576721
GB41113	GO:0016021	LOC100576562
GB41115	GO:0005509	LOC411693
GB41118	GO:0004089	LOC726890
GB41118	GO:0006730	LOC726890
GB41118	GO:0008270	LOC726890
GB41120	GO:0016021	LOC100576831
GB41123	GO:0005975	LOC100576801
GB41123	GO:0006108	LOC100576801
GB41123	GO:0016615	LOC100576801
GB41123	GO:0016616	LOC100576801
GB41126	GO:0016021	LOC413739
GB41126	GO:0022857	LOC413739
GB41127	GO:0016021	LOC726871
GB41127	GO:0022857	LOC726871
GB41129	GO:0016021	LOC413919
GB41134	GO:0000139	LOC413915
GB41134	GO:0005801	LOC413915
GB41134	GO:0006888	LOC413915
GB41134	GO:0015031	LOC413915
GB41134	GO:0016021	LOC413915
GB41135	GO:0018024	LOC412027
GB41136	GO:0005634	LOC551809
GB41136	GO:0005737	LOC551809
GB41136	GO:0006351	LOC551809
GB41136	GO:0006355	LOC551809
GB41136	GO:0016021	LOC551809
GB41138	GO:0003677	LOC413946
GB41138	GO:0005634	LOC413946
GB41138	GO:0006351	LOC413946
GB41138	GO:0006355	LOC413946
GB41142	GO:0005789	LOC551841
GB41142	GO:0016021	LOC551841
GB41142	GO:0016758	LOC551841
GB41143	GO:0003824	LOC551866
GB41143	GO:0050662	LOC551866
GB41147	GO:0005509	LOC552528
GB41147	GO:0005783	LOC552528
GB41147	GO:0006457	LOC552528
GB41147	GO:0016021	LOC552528
GB41148	GO:0005680	LOC413293
GB41148	GO:0007067	LOC413293
GB41148	GO:0030071	LOC413293
GB41148	GO:0031145	LOC413293
GB41148	GO:0051301	LOC413293
GB41150	GO:0003723	LOC409326
GB41150	GO:0003735	LOC409326
GB41150	GO:0006412	LOC409326
GB41150	GO:0015935	LOC409326
GB41151	GO:0005634	LOC725669
GB41151	GO:0007049	LOC725669
GB41154	GO:0005622	LOC410169
GB41154	GO:0030837	LOC410169
GB41156	GO:0015171	LOC409565
GB41156	GO:0016021	LOC409565
GB41157	GO:0016021	LOC100577982
GB41159	GO:0004799	LOC551983
GB41159	GO:0006231	LOC551983
GB41160	GO:0003700	LOC100576300
GB41160	GO:0005634	LOC100576300
GB41160	GO:0006351	LOC100576300
GB41160	GO:0043565	LOC100576300
GB41161	GO:0006351	LOC725633
GB41162	GO:0004672	LOC412041
GB41162	GO:0005524	LOC412041
GB41164	GO:0004725	LOC727030
GB41164	GO:0046872	LOC727030
GB41168	GO:0016021	LOC726572
GB41169	GO:0006486	LOC410105
GB41169	GO:0008375	LOC410105
GB41169	GO:0016021	LOC410105
GB41171	GO:0003950	LOC551860
GB41171	GO:0016021	LOC551860
GB41174	GO:0006355	LOC100578826
GB41175	GO:0008146	LOC413914
GB41175	GO:0016021	LOC413914
GB41175	GO:0016051	LOC413914
GB41177	GO:0005216	LOC412391
GB41177	GO:0016021	LOC412391
GB41177	GO:0051262	LOC412391
GB41178	GO:0004252	LOC412444
GB41179	GO:0003676	LOC409493
GB41179	GO:0046872	LOC409493
GB41181	GO:0003725	LOC725234
GB41182	GO:0016021	LOC551137
GB41187	GO:0003677	LOC727641
GB41187	GO:0006352	LOC727641
GB41188	GO:0005524	LOC724865
GB41188	GO:0006810	LOC724865
GB41188	GO:0016021	LOC724865
GB41188	GO:0016887	LOC724865
GB41191	GO:0016021	LOC100576614
GB41193	GO:0005086	LOC411463
GB41193	GO:0005543	LOC411463
GB41193	GO:0032012	LOC411463
GB41196	GO:0005634	LOC411466
